     Date     Nino Index 3.4  Sun activity  QBO 30hPa    QBO 10hPa     EHF NH        EHF SH         AO         AAO
    198001         0.55           1.84        -0.05         0.72        -1.71        -1.56        -2.01        -0.46
    198002         0.33           1.66         0.30         0.76        -0.97        -1.46        -0.91        -1.00
    198003         0.09           1.46         0.50         1.22        -0.57        -1.31        -1.40        -1.45
    198004         0.20           1.70         0.77         1.41        -0.30        -1.42        -0.41        -2.11
    198005         0.13           2.10         1.05         1.27        -0.21        -1.24        -1.12        -0.49
    198006         0.37           1.66         1.10         0.66        -0.15        -0.99         0.70         0.29
    198007         0.02           1.63         1.06         0.06        -0.10        -0.82        -0.61        -1.98
    198008        -0.23           1.32         1.02        -0.26        -0.02        -0.67        -0.18        -1.01
    198009        -0.12           1.51         1.09        -0.33         0.12        -0.36         0.30        -1.73
    198010        -0.11           1.74         1.10        -0.51        -1.91         0.03        -0.51         0.59
    198011         0.10           1.68         0.91        -0.82        -1.66         0.63        -1.33        -2.05
    198012         0.36           2.13         0.72        -1.02        -1.40         0.70        -0.06        -0.36
    198101        -0.45           1.50         0.76        -1.14        -0.67         0.77        -0.11         0.23
    198102        -0.45           1.63         0.79        -1.00        -0.16         0.87        -0.32         0.04
    198103        -0.02           1.93         0.75        -0.96         0.19         1.02        -1.60        -0.98
    198104        -0.17           2.21         0.31        -1.04         0.43        -1.42         0.42        -1.49
    198105        -0.11           1.84        -0.22        -1.23         0.57        -1.27         0.17        -0.35
    198106        -0.15           1.16        -0.65        -1.14         0.65        -1.11        -0.43         0.36
    198107        -0.43           1.41        -0.89        -0.44         0.70        -0.98         0.55        -1.00
    198108        -0.18           1.89        -0.96        -0.34         0.78        -0.76        -0.24        -2.16
    198109        -0.07           2.26        -1.04        -0.75         0.90        -0.39        -1.01        -1.54
    198110        -0.03           2.15        -1.10        -0.34        -1.90        -0.09        -1.14        -0.27
    198111        -0.27           1.91        -1.16         0.64        -1.53         0.36        -0.18         0.64
    198112         0.07           1.91        -1.22         0.77        -1.03         0.56        -1.18         1.14
    198201        -0.04           1.42        -1.23         0.21        -0.40         0.66        -0.86        -0.56
    198202        -0.13           1.68        -1.20         0.24         0.04         0.76         0.95         0.28
    198203        -0.02           1.82        -1.22         0.86         0.40         0.90         1.05         1.63
    198204         0.24           1.19        -1.32         1.17         0.81        -1.54         1.42         1.56
    198205         0.65           0.84        -1.43         1.24         0.89        -1.36        -0.20         0.12
    198206         0.92           0.97        -1.14         0.87         0.96        -1.24        -1.15         0.94
