 Year       Month  MEI_enso       solar          QBO1          QBO2            EHF_NH          EHF_SH         AO         AAO
 1979.0417  1      0.4700000      0.1671090      -1.486920     -0.4074220       66.39320      -66.60400     0.05220000      0.0000000
 1979.1250  2      0.2900000      0.1682790      -1.912690     -0.6711300       86.15720      -66.60400     -0.6445000      0.0000000
 1979.2083  3    -0.05000000      0.1683760      -1.939890     -0.2500300       94.31280      -5.156900      -1.458600      0.8992000
 1979.2917  4      0.2100000      0.1657800      -2.123210      0.1797710       102.7100      -9.993400      -2.615400       1.576800
 1979.3750  5      0.2700000      0.1656110      -2.200190      0.6916730       102.7100      -17.58440      -2.615400       2.300500
 1979.4583  6     -0.1100000      0.1653090      -1.780450       1.349410       102.7100      -22.88150      -2.615400       4.000500
 1979.5417  7     -0.1100000      0.1649110     -0.6496700       1.894720       102.7100      -30.88030      -2.615400       6.412600
 1979.6250  8      0.4700000      0.1655490      0.2423130       2.154470       102.7100      -37.83630      -2.615400       6.958100
 1979.7083  9      0.3800000      0.1671970      0.7124730       2.343280       3.804900      -55.48130    -0.04590000       7.587600
 1979.7917 10      0.2300000      0.1690010       1.183880       2.319760       12.70960      -77.83930      -1.289300       7.747400
 1979.8750 11      0.5300000      0.1711560       1.862490       1.901910       29.28060      -77.83930     -0.8142000       7.747400
 1979.9583 12      0.6300000      0.1686580       2.473300       1.217160       39.17810      -77.83930      0.4806000       7.747400
 1980.0417  1      0.3300000      0.1685520       2.389900      0.3643590       55.64410      -77.83930      -1.585100       7.747400
 1980.1250  2      0.2000000      0.1673110       2.342490     0.01102480       81.31910      -77.83930      -2.518800       7.747400
 1980.2083  3      0.3900000      0.1660830       2.517530     -0.1891080       95.25210      -5.067900      -3.952100      -1.424400
 1980.2917  4      0.5100000      0.1673500       2.712000     -0.4931440       104.7080      -12.78920      -4.371200      -3.492600
 1980.3750  5      0.4500000      0.1695020       2.405170      -1.103180       104.7080      -18.88700      -4.371200      -3.971300
 1980.4583  6      0.5500000      0.1670220       1.642380      -1.452780       104.7080      -27.73410      -4.371200      -3.685600
 1980.5417  7      0.4700000      0.1668310      0.9994860      -1.589100       104.7080      -33.38370      -4.371200      -5.629500
 1980.6250  8     0.03000000      0.1652400      0.3898480      -1.618510       104.7080      -38.41110      -4.371200      -6.626300
 1980.7083  9      0.1200000      0.1663600    -0.07626810      -1.708000       4.904200      -49.16210      0.3126000      -8.327100
 1980.7917 10     0.02000000      0.1676860     -0.6517430      -1.546850       14.32040      -62.53910     -0.2086000      -7.749700
 1980.8750 11    -0.07000000      0.1675280      -1.230640      -1.287590       23.10250      -62.53910      -1.569600      -7.749700
 1980.9583 12     -0.1200000      0.1703330      -1.353390      -1.095260       31.92200      -62.53910      -1.626900      -7.749700
 1981.0417  1     -0.3600000      0.1665810      -1.229050      -1.093800       57.59800      -62.53910      -1.743200      -7.749700
 1981.1250  2     -0.2300000      0.1671950      -1.004350      -1.132460       75.26100      -62.53910      -2.074800      -7.749700
 1981.2083  3      0.3300000      0.1687150      -1.381120      -1.122090       87.54200      -5.058600      -3.719500     -0.9655000
 1981.2917  4      0.4300000      0.1703330      -1.954060     -0.7177410       95.65670      -12.85520      -3.289100      -2.427500
 1981.3750  5     -0.2400000      0.1681470      -2.304710     -0.1923180       95.65670      -18.13220      -3.289100      -2.771500
 1981.4583  6     -0.7000000      0.1641200      -1.843570      0.4982850       95.65670      -23.42320      -3.289100      -2.419800
 1981.5417  7     -0.6100000      0.1657200      -1.359270      0.9748500       95.65670      -27.80210      -3.289100      -3.405700
 1981.6250  8     -0.3400000      0.1685570      -1.029940       1.135580       95.65670      -35.39130      -3.289100      -5.524000
 1981.7083  9    -0.07000000      0.1707030      -1.134160       1.277400       4.204300      -48.03730      -1.040100      -7.033400
 1981.7917 10     -0.1600000      0.1701750     -0.8868430       1.497770       13.78360      -58.25730      -2.207600      -7.293700
 1981.8750 11     -0.2700000      0.1689880     -0.2913160       1.810090       26.85560      -58.25730      -2.395300      -7.293700
 1981.9583 12     -0.1900000      0.1690840      0.2150750       1.903030       44.32460      -58.25730      -3.611000      -7.293700
 1982.0417  1     -0.4300000      0.1661200     -0.1300980       1.851530       66.30860      -58.25730      -4.494400      -7.293700
 1982.1250  2     -0.4900000      0.1674240     -0.1274710       1.900610       81.47860      -58.25730      -3.520500      -7.293700
 1982.2083  3     -0.2700000      0.1681000      0.1468250       1.980380       94.13060      -4.844800      -2.446400       1.603500
 1982.2917  4     -0.3600000      0.1643900      0.6843950       1.999530       108.1660      -8.600900     -0.9926000       3.134900
 1982.3750  5     -0.1200000      0.1622520       1.501810       1.865000       108.1660      -14.78300     -0.9926000       3.252800
 1982.4583  6      0.6200000      0.1628740       2.337520       1.400420       108.1660      -18.86250     -0.9926000       4.172900
 1982.5417  7       1.650000      0.1624660       2.878370      0.5188270       108.1660      -26.99800     -0.9926000       3.758200
 1982.6250  8       1.910000      0.1637630       3.051880     -0.1928390       108.1660      -33.61110     -0.9926000       4.537500
 1982.7083  9       1.690000      0.1647930       2.747730     -0.7906600       4.316600      -49.97310      0.5577000       6.117500
 1982.7917 10       1.780000      0.1650300       2.302320      -1.233320       10.53350      -71.74510      0.3467000       5.415200
 1982.8750 11       2.140000      0.1641680       1.491830      -1.613860       21.86450      -71.74510       1.007600       5.415200
 1982.9583 12       2.370000      0.1666450      0.7155440      -1.799460       40.16550      -71.74510       1.974800       5.415200
 1983.0417  1       2.480000      0.1621640     0.05330620      -1.939310       57.90050      -71.74510       3.333900       5.415200
 1983.1250  2       2.680000      0.1596060     -0.1170640      -1.926020       73.81950      -71.74510       1.528000       5.415200
 1983.2083  3       2.610000      0.1588100     -0.2421520      -1.899380       90.37050      -5.705200      0.9609000      0.1663000
 1983.2917  4       2.760000      0.1588130      -1.010030      -1.731680       98.82970      -11.01670      0.2231000      0.3157000
 1983.3750  5       2.860000      0.1603240      -1.860320      -1.100210       98.82970      -17.31910      0.2231000     -0.1215000
 1983.4583  6       1.980000      0.1605010      -2.208550     -0.2552770       98.82970      -23.10390      0.2231000     -0.3843000
 1983.5417  7      0.6300000      0.1594240      -2.169240      0.2520890       98.82970      -31.25070      0.2231000      0.7298000
 1983.6250  8     -0.1700000      0.1598150      -2.206950      0.4373020       98.82970      -39.37830      0.2231000       1.521800
 1983.7083  9     -0.4900000      0.1578700      -2.287670      0.5245160       3.870500      -50.24030      0.1669000      0.8258000
 1983.7917 10     -0.5300000      0.1575250      -2.131910      0.7752800       11.58760      -68.54930       1.535800       2.019300
 1983.8750 11     -0.4700000      0.1556170      -1.482100       1.092680       27.38760      -68.54930      0.8479000       2.019300
 1983.9583 12     -0.5000000      0.1554750     -0.9634150       1.282270       44.11060      -68.54930       1.034100       2.019300
 1984.0417  1     -0.5400000      0.1561910      -1.092870       1.331470       56.12960      -68.54930       1.939100       2.019300
 1984.1250  2     -0.5600000      0.1588340      -1.126180       1.300250       90.13560      -68.54930       1.636400       2.019300
