 Year       Month  Enso3,4       solar          QBO1          QBO2            EHF_NH          EHF_SH         AO         AAO
 1979.0417  1     -0.1300000      0.1671090      -1.512470     -0.3920640      0.0000000     -0.0000000     0.05220000      -2.692920
 1979.1250  2     -0.2200000      0.1682790      -1.938440     -0.6528160      0.0000000     -0.0000000     -0.6445000      -2.692920
 1979.2083  3    -0.02000000      0.1683760      -1.963540     -0.2330700      0.0000000      -5.156900      -1.458600      0.8992000
 1979.2917  4     0.02000000      0.1657800      -2.142480      0.1962840      0.0000000      -9.993400      -2.615400       1.576800
 1979.3750  5     -0.2500000      0.1656110      -2.211440      0.7067530      0.0000000      -17.58440      -2.615400       2.300500
 1979.4583  6     -0.2900000      0.1653090      -1.788250       1.360490      0.0000000      -22.88150      -2.615400       4.000500
 1979.5417  7     -0.4700000      0.1649110     -0.6628560       1.899200      0.0000000      -30.88030      -2.615400       6.412600
 1979.6250  8     -0.1000000      0.1655490      0.2267300       2.154020      0.0000000      -37.83630      -2.615400       6.958100
 1979.7083  9      0.2800000      0.1671970      0.6971490       2.339500       3.804900      -55.48130    -0.04590000       7.587600
 1979.7917 10      0.1100000      0.1690010       1.165700       2.312810       12.70960      -77.83930      -1.289300       7.747400
 1979.8750 11      0.2900000      0.1711560       1.840510       1.889020       29.28060      -77.83930     -0.8142000       7.747400
 1979.9583 12      0.5200000      0.1686580       2.442860       1.201330       39.17810      -77.83930      0.4806000       7.747400
 1980.0417  1      0.5400000      0.1685520       2.353090      0.3521130       55.64410      -77.83930      -1.585100       7.747400
 1980.1250  2      0.2200000      0.1673110       2.305090  1.502030e-005       81.31910      -77.83930      -2.518800       7.747400
 1980.2083  3     0.03000000      0.1660830       2.480750     -0.2005790       95.25210      -5.067900      -3.952100      -1.424400
 1980.2917  4    -0.07000000      0.1673500       2.672800     -0.5047660       104.7080      -12.78920      -4.371200      -3.492600
 1980.3750  5     0.08000000      0.1695020       2.363060      -1.111520       104.7080      -18.88700      -4.371200      -3.971300
 1980.4583  6      0.2100000      0.1670220       1.600480      -1.456250       104.7080      -27.73410      -4.371200      -3.685600
 1980.5417  7    -0.06000000      0.1668310      0.9587470      -1.589020       104.7080      -33.38370      -4.371200      -5.629500
